date,trial_number,total_popularity,total_time,planned_rides,optimal_rides,time_schedule
2023-09-28,70,7527,700,"[5, 7, 2, 4, 4, 4, 5, 4, 1, 0, 6, 5, 2, 4, 3, 2, 2, 6, 6, 4]","[5, 7, 2, 4, 4, 4, 5, 4, 1, 0, 6, 5, 2, 4, 3, 2]","[0, 30, 90, 150, 225, 285, 345, 405, 465, 540, 555, 600, 615, 630, 660, 675]"
2023-09-28,71,7978,720,"[4, 5, 3, 6, 4, 5, 6, 4, 1, 3, 3, 4, 5, 0, 3, 2, 7, 0, 6]","[4, 5, 3, 6, 4, 5, 6, 4, 1, 3, 3, 4, 5, 0, 3, 2, 7]","[0, 30, 45, 120, 195, 270, 330, 390, 450, 525, 555, 570, 585, 600, 615, 645, 660]"
2023-09-28,72,7961,717,"[4, 5, 3, 6, 5, 5, 6, 4, 0, 3, 3, 4, 5, 0, 3, 2, 7, 0, 6]","[4, 5, 3, 6, 5, 5, 6, 4, 0, 3, 3, 4, 5, 0, 3, 2, 7]","[0, 30, 45, 120, 195, 255, 315, 375, 450, 525, 540, 570, 585, 600, 615, 630, 660]"
2023-09-28,73,7492,686,"[6, 4, 3, 6, 6, 7, 6, 7, 1, 4, 2, 1, 2, 5, 5, 4, 7]","[6, 4, 3, 6, 6, 7, 6, 7, 1, 4, 2, 1, 2, 5, 5, 4]","[0, 45, 120, 195, 255, 315, 390, 450, 525, 555, 570, 585, 615, 630, 645, 675]"
2023-09-28,74,7548,687,"[7, 2, 4, 4, 4, 6, 5, 6, 2, 3, 1, 0, 1, 4, 4, 3, 7]","[7, 2, 4, 4, 4, 6, 5, 6, 2, 3, 1, 0, 1, 4, 4, 3]","[0, 60, 135, 210, 270, 330, 375, 435, 480, 540, 555, 585, 600, 630, 645, 675]"
2023-09-28,75,7558,723,"[4, 2, 4, 6, 3, 7, 0, 4, 1, 2, 2, 1, 2, 3, 6, 0, 4, 1, 4]","[4, 2, 4, 6, 3, 7, 0, 4, 1, 2, 2, 1, 2, 3, 6, 0]","[0, 30, 90, 165, 225, 300, 375, 465, 525, 540, 570, 585, 600, 615, 630, 675]"
2023-09-28,76,7984,720,"[4, 5, 3, 5, 4, 4, 6, 4, 0, 3, 3, 5, 4, 2, 3, 5, 7, 0, 6, 2]","[4, 5, 3, 5, 4, 4, 6, 4, 0, 3, 3, 5, 4, 2, 3, 5, 7]","[0, 30, 45, 120, 195, 270, 315, 375, 435, 540, 555, 570, 585, 600, 615, 645, 660]"
2023-09-28,77,7548,683,"[4, 6, 4, 5, 4, 4, 7, 3, 0, 3, 4, 5, 4, 2, 4, 5, 7, 2, 7, 2]","[4, 6, 4, 5, 4, 4, 7, 3, 0, 3, 4, 5, 4, 2, 4, 5]","[0, 30, 75, 120, 195, 270, 315, 405, 465, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,78,7569,690,"[6, 6, 4, 4, 2, 3, 2, 6, 3, 0, 0, 2, 7, 2, 4, 4, 2]","[6, 6, 4, 4, 2, 3, 2, 6, 3, 0, 0, 2, 7, 2, 4, 4]","[0, 45, 90, 150, 225, 285, 345, 420, 480, 525, 540, 570, 585, 630, 645, 675]"
2023-09-28,79,7054,686,"[4, 2, 6, 7, 5, 2, 3, 7, 5, 0, 0, 4, 1, 2, 1, 2, 5, 2, 3]","[4, 2, 6, 7, 5, 2, 3, 7, 5, 0, 0, 4, 1, 2, 1]","[0, 30, 90, 165, 240, 300, 375, 435, 510, 555, 570, 600, 615, 630, 660]"
